GROUP	SCORE	PATH
INGESTION	393	backend/onyx/server/documents/connector.py
INGESTION	367	backend/onyx/db/models.py
INGESTION	283	backend/onyx/document_index/opensearch/client.py
INGESTION	239	backend/onyx/db/document.py
INGESTION	232	backend/tests/unit/onyx/connectors/canvas/test_canvas_connector.py
INGESTION	229	backend/onyx/indexing/indexing_pipeline.py
INGESTION	226	backend/onyx/db/connector_credential_pair.py
INGESTION	195	backend/onyx/background/indexing/run_docfetching.py
INGESTION	180	backend/onyx/background/celery/tasks/docprocessing/tasks.py
INGESTION	170	backend/onyx/connectors/registry.py
INGESTION	155	backend/onyx/db/connector.py
INGESTION	154	backend/tests/external_dependency_unit/opensearch/test_opensearch_client.py
INGESTION	151	backend/tests/daily/connectors/sharepoint/test_sharepoint_connector.py
INGESTION	133	backend/tests/unit/onyx/connectors/box/test_box_connector.py
INGESTION	127	backend/tests/unit/onyx/connectors/sharepoint/test_slim_and_validation.py
INGESTION	118	backend/onyx/document_index/opensearch/opensearch_document_index.py
INGESTION	118	backend/tests/daily/connectors/hubspot/test_hubspot_connector.py
INGESTION	115	backend/onyx/db/document_set.py
INGESTION	109	backend/onyx/db/index_attempt.py
INGESTION	104	backend/onyx/background/celery/tasks/docfetching/tasks.py
INGESTION	104	backend/onyx/connectors/sharepoint/connector.py
INGESTION	96	backend/onyx/connectors/github/connector.py
INGESTION	95	backend/tests/unit/onyx/connectors/google_drive/test_slim_retrieval.py
INGESTION	90	backend/onyx/server/documents/models.py
INGESTION	89	backend/onyx/document_index/interfaces_new.py
SUMMARY	INGESTION	25
CHUNKING	288	backend/tests/external_dependency_unit/opensearch/test_opensearch_client.py
CHUNKING	252	backend/tests/unit/onyx/indexing/test_document_chunker.py
CHUNKING	189	backend/onyx/document_index/opensearch/opensearch_document_index.py
CHUNKING	164	backend/onyx/document_index/opensearch/client.py
CHUNKING	161	backend/onyx/document_index/vespa/vespa_document_index.py
CHUNKING	153	backend/onyx/indexing/indexing_pipeline.py
CHUNKING	132	backend/onyx/server/manage/voice/websocket_api.py
CHUNKING	127	backend/tests/external_dependency_unit/indexing/test_port_reembed.py
CHUNKING	125	backend/onyx/indexing/port_reembed.py
CHUNKING	125	backend/onyx/tools/tool_implementations/search/search_utils.py
CHUNKING	109	backend/tests/external_dependency_unit/document_index/test_document_index.py
CHUNKING	99	backend/onyx/indexing/chunker.py
CHUNKING	95	backend/onyx/context/search/pipeline.py
CHUNKING	93	backend/tests/unit/onyx/indexing/test_embed_chunks_in_batches.py
CHUNKING	92	backend/tests/unit/onyx/indexing/test_tabular_section_chunker.py
CHUNKING	74	backend/onyx/document_index/vespa/indexing_utils.py
