SCORE	PATH	SYMBOL	START	END	IDENTITY	ACL	FILTER	RETRIEVAL	BACKEND	RERANK	CONTEXT	CALLS
650	backend/onyx/tools/tool_implementations/search/search_tool.py	SearchTool.run	664	1231	17	11	6	170	8	0	14	BaseFilters,EmbeddingModel.from_db_model,OnyxError,Packet,RuntimeError,SearchCycle,SearchDocsResponse,SearchToolDocumentsDelta,SearchToolFilterDelta,SearchToolQueriesDelta,ToolCallException,ToolResponse,_build_scope_note,_trim_sections_by_tokens,all_queries.append,all_queries_with_weights.sort,any,bool,build_access_filters_for_user,cast,convert_inference_sections_to_llm_string,convert_inference_sections_to_search_docs,deduplicate_queries,dict.fromkeys,expand_section_with_context,fetch_unique_document_sources,filter_document_set_names_by_user_access,format,get_current_search_settings,get_federated_retrieval_functions,get_llm_token_counter,get_session_with_current_tenant,info.source.to_non_federated_source,issubset,len,list,log_function_time,logger.debug,logger.info,logger.warning
502	backend/onyx/document_index/opensearch/search.py	DocumentQuery._get_search_filters	871	1369	12	36	28	73	1	0	0	ValueError,_get_acl_visibility_filter,_get_attached_document_id_filter,_get_chunk_index_filter,_get_date_range_clause,_get_document_set_filter,_get_document_time_filter,_get_hierarchy_node_filter,_get_persona_filter,_get_source_type_filter,_get_tag_filter,_get_user_project_filter,append,clauses.append,created_at_range.has_bounds,datetime.now,datetime_to_utc,filter_clauses.append,filter_clauses.extend,int,len,list,timedelta,timestamp,updated_at_range.has_bounds
398	backend/onyx/deep_research/dr_loop.py	run_deep_research_llm_loop	206	828	27	0	1	95	0	0	55	CLARIFICATION_PROMPT.format,ChatMessageSimple,ChatTraceMetadata,DeepResearchPlanDelta,DeepResearchPlanStart,DynamicCitationProcessor,OverallStop,Packet,Placement,RESEARCH_PLAN_PROMPT.format,RuntimeError,SectionEnd,ToolCallInfo,ToolCallSimple,TopLevelBranching,_get_research_agent_tool_id,build_language_section,cast,check_special_tool_calls,construct_message_history,create_think_tool_token_processor,current_tool_call.to_msg_str,emitter.emit,enumerate,format,function_span,generate_final_report,get_clarification_tool_definitions,get_current_llm_day_time,get_orchestrator_tools,initialize_litellm,isinstance,len,log_function_time,logger.error,logger.info,logger.warning,model_dump,model_is_reasoning_model,next
356	backend/onyx/background/celery/tasks/docprocessing/tasks.py	check_for_indexing	853	1217	23	52	0	34	0	0	0	EmbeddingModel.from_db_model,IndexAttempt.celery_task_id.is_,IndexAttempt.status.in_,IndexAttempt.targeted_reindex_job_id.is_,OnyxRuntime.get_build_fence_lookup_table_interval,_KickoffResult,_get_fence_validation_block_expiration,_kickoff_indexing_tasks,all,check_and_perform_index_swap,db_session.execute,fetch_indexable_standard_connector_credential_pair_ids,fresh_attempt.status.is_terminal,get_connector_credential_pair_from_id,get_current_search_settings,get_index_attempt,get_redis_client,get_redis_replica_client,get_secondary_search_settings,get_session_with_current_tenant,is_fence,is_in_repeated_error_state,lock_beat.acquire,lock_beat.owned,lock_beat.reacquire,lock_beat.release,logger.warning,mark_attempt_failed,maybe_mark_tenant_active,monitor_indexing_attempt_progress,notify_admins_of_connector_alert,on_connector_error_state_change,redis_client.exists,redis_client.lock,redis_client.sadd,redis_client.set,redis_client.sismember,redis_client_replica.scan_iter,redis_lock_dump,scalars
330	backend/onyx/chat/llm_loop.py	run_llm_loop	743	1411	26	0	1	42	0	0	148	ChatMessageSimple,ChatTraceMetadata,DynamicCitationProcessor,LlmStepResult,MemoryToolResponseSnapshot,OverallStop,Packet,Placement,RuntimeError,ToolCallDebug,ToolCallInfo,ToolCallSimple,TopLevelBranching,ValueError,_build_context_file_citation_mapping,_build_empty_llm_response_error,_try_fallback_tool_extraction,add_memory,any,bool,build_python_chat_files_from_search_docs,build_system_prompt,chat_files.extend,citation_processor.get_next_citation_number,citation_processor.update_citation_mapping,compute_all_tool_tokens,construct_message_history,create_tool_call_failure_messages,emitter.emit,extract_url_snippet_map,gathered_documents.extend,get_current_incognito_record_mode,get_default_base_system_prompt,get_session_with_current_tenant,initialize_litellm,int,isinstance,json.dumps,json.loads,len
330	backend/onyx/chat/save_chat.py	save_chat_turn	169	366	0	0	0	98	0	0	36	ChatStateContainer.create_search_doc_key,_create_and_link_tool_calls,_extract_referenced_file_descriptors,add_search_docs_to_chat_message,all_search_doc_ids_set.add,all_search_docs.items,citation_to_doc.items,create_db_search_doc,db_session.commit,default_tokenizer.encode,get_tokenizer,len,list,logger.info,logger.warning,sanitize_string,search_doc_ids_for_tool.append,search_doc_key_to_id.values,set
328	backend/onyx/background/celery/tasks/opensearch_migration/tasks.py	migrate_chunks_from_vespa_to_opensearch_task	73	334	32	0	0	46	42	0	0	IndexingSetting.from_db_model,OpenSearchDocumentIndex,TenantState,VespaDocumentIndex,build_sanitized_to_original_doc_id_mapping,get_current_search_settings,get_current_tenant_id,get_redis_client,get_session_with_current_tenant,get_vespa_http_client,get_vespa_visit_state,is_continuation_token_done_for_all_slices,is_migration_completed,len,lock.acquire,lock.owned,lock.release,mark_migration_completed_time_if_not_set_with_commit,opensearch_document_index.index_raw_chunks,r.lock,shared_task,task_logger.debug,task_logger.error,task_logger.exception,task_logger.info,task_logger.warning,time.monotonic,traceback.print_exc,transform_vespa_chunks_to_opensearch_chunks,try_insert_opensearch_tenant_migration_record_with_commit,update_vespa_visit_progress_with_commit,vespa_document_index.get_all_raw_document_chunks_paginated,vespa_document_index.get_chunk_count
328	backend/onyx/background/celery/tasks/opensearch_migration/transformer.py	transform_vespa_chunks_to_opensearch_chunks	184	348	18	9	0	14	70	0	4	DocumentChunk,ValueError,_extract_content_vector,_extract_title_vector,_transform_vespa_acl_to_opensearch_acl,_transform_vespa_document_sets_to_opensearch_document_sets,datetime.fromtimestamp,errored_chunks.append,logger.exception,logger.warning,result.append,sanitized_to_original_doc_id_mapping.get,traceback.print_exc,vespa_chunk.get
306	backend/onyx/tools/fake_tools/research_agent.py	run_research_agent_call	220	645	10	0	2	77	0	0	47	ChatMessageSimple,DynamicCitationProcessor,Packet,PacketException,Placement,ResearchAgentCallResult,ResearchAgentStart,ToolCallInfo,ToolCallSimple,ValueError,any,check_special_tool_calls,citation_processor.get_next_citation_number,citation_processor.get_seen_citations,compute_all_tool_tokens,compute_tool_definition_tokens,construct_message_history,create_think_tool_token_processor,create_tool_call_failure_messages,emitter.emit,extract_url_snippet_map,format,function_span,generate_intermediate_report,generate_tools_description,get_current_llm_day_time,get_research_agent_additional_tool_definitions,isinstance,logger.debug,logger.error,logger.info,max,msg_history.append,msg_history.extend,run_llm_step,run_tool_calls,state_container.add_search_docs,state_container.add_tool_call,state_container.get_tool_calls,str
300	backend/onyx/server/documents/connector.py	get_connector_indexing_status	966	1321	13	66	1	2	0	0	0	ConnectorIndexingStatusLite,ConnectorIndexingStatusLiteResponse,Depends,FederatedConnectorStatus,SourceSummary,_apply_connector_status_filters,_apply_federated_connector_status_filters,_attempt_lookup,_get_connector_indexing_status_lite,append,bool,build_connector_indexing_status,cast,cc_pair_to_document_cnt.get,cc_pair_to_latest_finished_index_attempt.get,cc_pair_to_latest_index_attempt.get,cc_pair_to_latest_successful_index_attempt.get,connector_status.source.to_non_federated_source,editable_statuses.append,federated_connector.source.replace,federated_statuses.extend,get_cc_pair_groups_for_ids,get_connector_credential_pairs_for_user_parallel,get_current_tenant_id,get_document_counts_for_all_cc_pairs,get_effective_permissions,get_latest_index_attempts_parallel,get_latest_successful_index_attempts_parallel,has_global_permission,isinstance,json.load,len,list,math.ceil,mt_cloud_telemetry,non_editable_statuses.append,open,parallel_functions.append,request.source_to_page.get,require_permission
